model,threshold,thr_value,n_presences,n_absences,TPR_mean,TPR_sd,TNR_mean,TNR_sd,SORENSEN_mean,SORENSEN_sd,JACCARD_mean,JACCARD_sd,FPB_mean,FPB_sd,OR_mean,OR_sd,TSS_mean,TSS_sd,AUC_mean,AUC_sd,BOYCE_mean,BOYCE_sd,IMAE_mean,IMAE_sd
max,max_fpb,0.95179579,82,10000,0.507305195,0.051979749,0.9992,4.47E-04,0.63083004,0.053925174,0.4625,0.055901699,0.925,0.111803399,0.492694805,0.051979749,0.506505195,0.051946527,0.959428815,0.013617213,0.99037713,0.008352918,0.962622103,0.003991223
max,max_jaccard,0.95179579,82,10000,0.507305195,0.051979749,0.9992,4.47E-04,0.63083004,0.053925174,0.4625,0.055901699,0.925,0.111803399,0.492694805,0.051979749,0.506505195,0.051946527,0.959428815,0.013617213,0.99037713,0.008352918,0.962622103,0.003991223
max,max_sens_spec,0.13264369,82,10000,0.890584416,0.042909839,0.9062,0.00951709,0.133527057,0.021364926,0.07165223,0.012280373,0.14330446,0.024560746,0.109415584,0.042909839,0.796784416,0.048180479,0.959428815,0.013617213,0.99037713,0.008352918,0.962622103,0.003991223
max,max_sorensen,0.95179579,82,10000,0.507305195,0.051979749,0.9992,4.47E-04,0.63083004,0.053925174,0.4625,0.055901699,0.925,0.111803399,0.492694805,0.051979749,0.506505195,0.051946527,0.959428815,0.013617213,0.99037713,0.008352918,0.962622103,0.003991223
max,sensitivity,0.06796562,82,10000,0.865584416,0.008994737,0.8582,0.051539548,0.099882212,0.039158184,0.052924597,0.021732945,0.105849194,0.04346589,0.134415584,0.008994737,0.723784416,0.060205059,0.959428815,0.013617213,0.99037713,0.008352918,0.962622103,0.003991223
max,equal_sens_spec,0.33502595,85,10000,0.919080837,0.022136152,0.9219,0.007039176,0.165174898,0.021313919,0.090139332,0.012610313,0.180278664,0.025220626,0.080919163,0.022136152,0.840980837,0.028808477,0.969761246,0.006367452,0.943861462,0.018217537,0.941170395,0.006967309
max,lpt,0.00539807,85,10000,1,0,0.8753,0.041883171,0.125670885,0.031749304,0.067291869,0.017963668,0.134583737,0.035927335,0,0,0.8753,0.041883171,0.969761246,0.006367452,0.943861462,0.018217537,0.941170395,0.006967309
max,max_fpb,0.87315146,85,10000,0.543491884,0.12125783,0.9861,0.002792848,0.337613362,0.066585037,0.204698513,0.050228264,0.409397025,0.100456527,0.456508116,0.12125783,0.529591884,0.121073101,0.969761246,0.006367452,0.943861462,0.018217537,0.941170395,0.006967309
max,max_jaccard,0.87315146,85,10000,0.543491884,0.12125783,0.9861,0.002792848,0.337613362,0.066585037,0.204698513,0.050228264,0.409397025,0.100456527,0.456508116,0.12125783,0.529591884,0.121073101,0.969761246,0.006367452,0.943861462,0.018217537,0.941170395,0.006967309
max,max_sens_spec,0.20136483,85,10000,0.988235294,0.026306682,0.9014,0.017668475,0.147577203,0.028900815,0.079878318,0.016921773,0.159756637,0.033843546,0.011764706,0.026306682,0.889635294,0.010905155,0.969761246,0.006367452,0.943861462,0.018217537,0.941170395,0.006967309
